Exec Time,Qty,Symbol,Type,Net Price,Net Position
2021-03-08 06:43:08,25,OPGN,STOCK,2.8496,71.24000000000001
2021-03-08 06:42:52,15,OPGN,STOCK,2.84867,42.73005
2021-03-08 06:39:23,14,EYES,STOCK,10.48,146.72
2021-03-08 06:39:23,11,EYES,STOCK,10.48,115.28
2021-03-08 06:39:17,-25,OPGN,STOCK,2.8728,-71.82
2021-03-08 06:39:13,-26,EYES,STOCK,10.09115,-262.36990000000003
2021-03-08 06:39:08,25,EYES,STOCK,10.1976,254.94
2021-03-08 06:39:06,25,OPGN,STOCK,2.928,73.2
2021-03-08 06:38:16,-10,EYES,STOCK,9.43,-94.3
2021-03-08 06:36:28,10,EYES,STOCK,9.8,98.0
2021-03-08 06:34:48,-25,OPGN,STOCK,2.69,-67.25
2021-03-08 06:34:33,25,OPGN,STOCK,2.5648,64.12
2021-03-08 06:34:06,1,EYES,STOCK,9.43,9.43
2021-03-08 06:33:05,-1,XSPA,STOCK,1.87,-1.87
2021-03-08 06:33:03,1,XSPA,STOCK,1.88,1.88
2021-03-08 06:16:20,-5,EYES,STOCK,8.69,-43.449999999999996
2021-03-08 06:16:02,-5,EYES,STOCK,8.84,-44.2
2021-03-08 06:14:27,-5,EYES,STOCK,9.23,-46.150000000000006
2021-03-08 06:13:32,5,EYES,STOCK,9.24,46.2
2021-03-08 06:13:12,5,EYES,STOCK,9.54,47.699999999999996
2021-03-08 06:12:47,-5,EYES,STOCK,9.5,-47.5
2021-03-08 06:12:31,5,EYES,STOCK,9.39,46.95
2021-03-08 06:12:04,-5,EYES,STOCK,9.14,-45.7
2021-03-08 06:11:31,-5,EYES,STOCK,9.02,-45.099999999999994
2021-03-08 06:11:06,10,EYES,STOCK,8.93,89.3
2021-03-08 06:10:05,3,EYES,STOCK,8.86,26.58
2021-03-08 06:03:28,1,EYES,STOCK,8.7,8.7
2021-03-08 06:00:04,1,EYES,STOCK,8.71,8.71
2021-03-05 07:32:09,-5,EYES,STOCK,3.342,-16.71
2021-03-05 07:31:55,5,EYES,STOCK,3.298,16.490000000000002
2021-03-05 07:27:18,-5,EYES,STOCK,3.17,-15.85
2021-03-05 07:26:53,5,EYES,STOCK,2.97,14.850000000000001
2021-03-05 07:19:01,-5,EYES,STOCK,2.84,-14.2
2021-03-05 07:18:08,5,EYES,STOCK,2.93,14.65
2021-03-05 07:12:58,-5,EYES,STOCK,3.04,-15.2
2021-03-05 07:12:51,5,EYES,STOCK,3.03,15.149999999999999
2021-03-05 07:10:37,-2,EYES,STOCK,2.89,-5.78
2021-03-05 07:09:57,2,EYES,STOCK,2.81,5.62
2021-03-05 07:03:09,-5,EYES,STOCK,2.59,-12.95
2021-03-05 07:02:42,5,EYES,STOCK,2.49,12.450000000000001
2021-03-05 07:01:37,-5,EYES,STOCK,2.43,-12.15
2021-03-05 07:01:12,-25,EYES,STOCK,2.51,-62.74999999999999
2021-03-05 07:01:02,25,EYES,STOCK,2.4688,61.72
2021-03-05 07:00:49,5,EYES,STOCK,2.39,11.950000000000001
2021-03-05 06:49:31,-4,EYES,STOCK,2.43,-9.72
2021-03-05 06:49:05,4,EYES,STOCK,2.48,9.92
2021-03-05 06:47:59,-20,EYES,STOCK,2.43,-48.6
2021-03-05 06:47:48,20,EYES,STOCK,2.48,49.6
2021-03-05 06:47:09,-25,EYES,STOCK,2.48,-62.0
2021-03-05 06:46:34,25,EYES,STOCK,2.39,59.75
2021-03-05 06:45:02,-5,EYES,STOCK,2.32,-11.6
2021-03-05 06:45:00,-5,EYES,STOCK,2.36,-11.799999999999999
2021-03-05 06:44:55,-15,EYES,STOCK,2.39467,-35.92005
2021-03-05 06:44:31,-50,EYES,STOCK,2.48,-124.0
2021-03-05 06:44:23,50,EYES,STOCK,2.38,119.0
2021-03-05 06:43:29,-55,EYES,STOCK,2.38,-130.9
2021-03-05 06:43:29,-44,EYES,STOCK,2.38,-104.72
2021-03-05 06:43:29,-1,EYES,STOCK,2.38,-2.38
2021-03-05 06:43:26,-100,EYES,STOCK,2.34,-234.0
2021-03-05 06:43:08,78,EYES,STOCK,2.27,177.06
2021-03-05 06:43:08,22,EYES,STOCK,2.27,49.94
2021-03-05 06:43:05,68,EYES,STOCK,2.24985,152.9898
2021-03-05 06:43:05,32,EYES,STOCK,2.24969,71.99008
2021-03-05 06:42:12,-50,EYES,STOCK,2.172,-108.60000000000001
2021-03-05 06:41:22,50,EYES,STOCK,2.27,113.5
2021-03-05 06:41:09,25,EYES,STOCK,2.2488,56.220000000000006
2021-03-05 06:31:29,-1,EYES,STOCK,2.15,-2.15
2021-03-05 06:30:17,1,EYES,STOCK,2.4,2.4
2021-03-05 06:19:49,-10,METX,STOCK,2.66,-26.6
2021-03-05 06:19:36,-15,METX,STOCK,2.66,-39.900000000000006
2021-03-05 06:19:26,-25,METX,STOCK,2.69,-67.25
2021-03-05 06:18:32,50,METX,STOCK,2.72,136.0
2021-03-05 06:17:22,-5,METX,STOCK,2.6,-13.0
2021-03-05 06:16:20,-15,METX,STOCK,2.62,-39.300000000000004
2021-03-05 06:16:07,-55,METX,STOCK,2.65,-145.75
2021-03-05 06:14:46,30,METX,STOCK,2.72,81.60000000000001
2021-03-05 06:14:46,20,METX,STOCK,2.72,54.400000000000006
2021-03-05 06:12:43,25,METX,STOCK,2.64,66.0
2021-03-04 06:57:22,-1,AAPL,CALL,0.88,-88.0
2021-03-04 06:54:21,1,AAPL,CALL,1.16,115.99999999999999
2021-03-04 06:45:29,-75,SLGG,STOCK,6.62507,-496.88025
2021-03-04 06:44:18,25,SLGG,STOCK,6.8888,172.22
2021-03-04 06:44:03,25,SLGG,STOCK,6.91,172.75
2021-03-04 06:43:52,25,SLGG,STOCK,6.82,170.5
2021-03-04 06:43:23,-25,SLGG,STOCK,6.68,-167.0
2021-03-04 06:43:04,25,SLGG,STOCK,6.85,171.25
2021-03-04 06:42:16,-55,SLGG,STOCK,6.70291,-368.66005
2021-03-04 06:41:46,25,SLGG,STOCK,7.0,175.0
2021-03-04 06:41:03,25,SLGG,STOCK,6.96,174.0
2021-03-04 06:39:35,5,SLGG,STOCK,7.05,35.25
2021-03-04 06:38:53,-1,SLGG,STOCK,7.0,-7.0
2021-03-04 06:38:45,-15,SLGG,STOCK,7.12,-106.8
2021-03-04 06:38:21,15,SLGG,STOCK,6.936,104.03999999999999
2021-03-04 06:37:33,1,SLGG,STOCK,6.58,6.58
2021-03-04 06:32:41,-1,SLGG,STOCK,6.25,-6.25
2021-03-04 06:32:40,1,SLGG,STOCK,6.26,6.26
2021-03-04 06:17:47,-1,SKT,STOCK,21.35,-21.35
2021-03-04 06:14:08,1,SKT,STOCK,22.28,22.28
2021-03-03 07:11:43,-1,OCGN,STOCK,13.43,-13.43
2021-03-03 07:10:35,1,OCGN,STOCK,13.63,13.63
2021-03-03 07:05:23,-6,OCGN,STOCK,13.68167,-82.09002000000001
2021-03-03 07:05:05,5,OCGN,STOCK,13.85,69.25
2021-03-03 07:04:13,-10,OCGN,STOCK,13.88,-138.8
2021-03-03 07:03:47,10,OCGN,STOCK,13.64,136.4
2021-03-03 07:01:14,-5,OCGN,STOCK,13.892,-69.46
2021-03-03 07:00:44,5,OCGN,STOCK,13.62,68.1
2021-03-03 07:00:42,1,OCGN,STOCK,13.62,13.62
2021-03-03 06:55:34,-2,OCGN,STOCK,13.86,-27.72
2021-03-03 06:55:03,2,OCGN,STOCK,13.7,27.4
2021-03-03 06:53:33,-1,OCGN,STOCK,13.86,-13.86
2021-03-03 06:52:54,1,OCGN,STOCK,13.7,13.7
2021-03-03 06:39:20,-1,SLGG,STOCK,6.22,-6.22
2021-03-03 06:35:57,-25,SLGG,STOCK,6.27,-156.75
2021-03-03 06:35:32,-50,SLGG,STOCK,6.1312,-306.56
2021-03-03 06:35:19,50,SLGG,STOCK,5.8888,294.44
2021-03-03 06:33:07,25,SLGG,STOCK,5.78,144.5
2021-03-03 06:31:36,1,SLGG,STOCK,5.7,5.7
2021-03-03 06:31:23,-1,UWMC,STOCK,11.57,-11.57
2021-03-03 06:29:25,-4,UWMC,STOCK,12.16,-48.64
2021-03-03 06:29:11,-5,UWMC,STOCK,12.2,-61.0
2021-03-03 06:29:00,-5,UWMC,STOCK,12.17,-60.85
2021-03-03 06:28:02,15,UWMC,STOCK,12.13,181.95000000000002
2021-03-03 06:23:52,-20,UWMC,STOCK,11.97,-239.4
2021-03-03 06:22:45,10,UWMC,STOCK,12.15,121.5
2021-03-03 06:21:06,10,UWMC,STOCK,12.19,121.89999999999999
2021-03-03 06:09:44,-5,SLGG,STOCK,5.42,-27.1
2021-03-03 06:08:10,5,SLGG,STOCK,5.58,27.9
2021-03-02 06:40:21,-10,CHFS,STOCK,10.615,-106.15
2021-03-02 06:39:24,-5,CHFS,STOCK,11.01,-55.05
2021-03-02 06:39:15,-5,CHFS,STOCK,11.3,-56.5
2021-03-02 06:38:53,5,CHFS,STOCK,11.03,55.15
2021-03-02 06:38:45,5,CHFS,STOCK,10.9,54.5
2021-03-02 06:38:06,10,CHFS,STOCK,10.67,106.7
2021-03-02 06:36:56,-55,JCS,STOCK,9.65491,-531.02005
2021-03-02 06:36:19,20,JCS,STOCK,10.95,219.0
2021-03-02 06:36:13,20,JCS,STOCK,10.9865,219.73
2021-03-02 06:36:03,15,JCS,STOCK,10.41,156.15
2021-03-02 06:32:04,-16,JCS,STOCK,9.92438,-158.79008
2021-03-02 06:31:32,15,JCS,STOCK,11.136,167.04
2021-03-02 06:31:18,1,JCS,STOCK,10.62,10.62
2021-03-02 06:23:17,-1,JCS,STOCK,10.9,-10.9
2021-03-02 06:22:09,-15,JCS,STOCK,11.33,-169.95
2021-03-02 06:21:00,15,JCS,STOCK,11.81,177.15
2021-03-02 06:20:24,1,JCS,STOCK,11.88,11.88
2021-03-01 07:28:18,-25,SOS,STOCK,6.8,-170.0
2021-03-01 07:28:16,-25,SOS,STOCK,6.8,-170.0
2021-03-01 07:26:07,15,SOS,STOCK,7.02,105.3
2021-03-01 07:25:30,25,SOS,STOCK,6.99,174.75
2021-03-01 07:24:35,10,SOS,STOCK,6.89,68.89999999999999
2021-03-01 07:22:08,-10,AMTX,STOCK,14.244,-142.44
2021-03-01 07:21:02,10,AMTX,STOCK,14.56,145.6
2021-03-01 07:19:53,-3,AMTX,STOCK,14.18,-42.54
2021-03-01 07:17:26,3,AMTX,STOCK,14.53,43.589999999999996
2021-03-01 07:08:46,-20,ECOR,STOCK,3.4605,-69.21000000000001
2021-03-01 07:08:02,20,ECOR,STOCK,3.4395,68.78999999999999
2021-03-01 07:03:43,-25,SOS,STOCK,6.7,-167.5
2021-03-01 07:02:49,25,SOS,STOCK,6.8988,172.47
2021-03-01 06:59:50,-15,SOS,STOCK,6.8,-102.0
2021-03-01 06:58:30,-25,ECOR,STOCK,3.07,-76.75
2021-03-01 06:58:09,15,SOS,STOCK,6.868,103.02000000000001
2021-03-01 06:57:24,25,ECOR,STOCK,3.13,78.25
2021-03-01 06:54:59,-5,SOS,STOCK,6.724,-33.620000000000005
2021-03-01 06:54:17,-15,SOS,STOCK,6.88133,-103.21995
2021-03-01 06:54:05,15,SOS,STOCK,6.92,103.8
2021-03-01 06:54:04,5,SOS,STOCK,6.93,34.65
2021-03-01 06:51:19,-5,SOS,STOCK,7.042,-35.21
2021-03-01 06:51:14,5,SOS,STOCK,7.138,35.69
2021-03-01 06:49:54,-5,SOS,STOCK,7.05,-35.25
2021-03-01 06:49:49,-10,SOS,STOCK,7.075,-70.75
2021-03-01 06:49:28,10,SOS,STOCK,6.959,69.59
2021-03-01 06:49:13,5,SOS,STOCK,6.83,34.15
2021-03-01 06:48:51,-5,SOS,STOCK,7.02,-35.099999999999994
2021-03-01 06:48:17,3,SOS,STOCK,6.82,20.46
2021-03-01 06:48:17,2,SOS,STOCK,6.82,13.64
2021-03-01 06:47:24,-5,SOS,STOCK,6.912,-34.56
2021-03-01 06:46:50,5,SOS,STOCK,6.73,33.650000000000006
2021-03-01 06:44:51,-10,SOS,STOCK,6.58,-65.8
2021-03-01 06:44:48,-25,SOS,STOCK,6.53,-163.25
2021-03-01 06:43:23,25,SOS,STOCK,6.4576,161.44
2021-03-01 06:43:16,10,SOS,STOCK,6.43,64.3
2021-03-01 06:42:55,-5,SOS,STOCK,6.19,-30.950000000000003
2021-03-01 06:42:33,5,SOS,STOCK,6.34,31.7
2021-03-01 06:39:34,-1,ECOR,STOCK,2.72,-2.72
2021-03-01 06:39:33,1,ECOR,STOCK,2.74,2.74
2021-02-26 05:49:14,-1,LIXT,STOCK,7.62,-7.62
2021-02-26 05:48:34,-1,LIXT,STOCK,7.68,-7.68
2021-02-26 05:48:21,-3,LIXT,STOCK,7.65,-22.950000000000003
2021-02-26 05:47:51,-5,LIXT,STOCK,7.48,-37.400000000000006
2021-02-26 05:47:28,-5,LIXT,STOCK,7.6,-38.0
2021-02-26 05:47:21,-5,LIXT,STOCK,7.65,-38.25
2021-02-26 05:47:17,-5,LIXT,STOCK,7.58,-37.9
2021-02-26 05:47:14,-5,LIXT,STOCK,7.58,-37.9
2021-02-26 05:47:14,-5,LIXT,STOCK,7.55,-37.75
2021-02-26 05:47:05,-5,LIXT,STOCK,7.5,-37.5
2021-02-26 05:47:02,-5,LIXT,STOCK,7.39,-36.949999999999996
2021-02-26 05:46:50,15,LIXT,STOCK,7.36,110.4
2021-02-26 05:46:39,15,LIXT,STOCK,7.29,109.35
2021-02-26 05:46:35,15,LIXT,STOCK,7.23,108.45
2021-02-26 05:41:51,-10,LIXT,STOCK,6.99,-69.9
2021-02-26 05:40:56,-20,LIXT,STOCK,7.07,-141.4
2021-02-26 05:40:11,20,LIXT,STOCK,7.29,145.8
2021-02-26 05:37:39,10,LIXT,STOCK,7.2,72.0
2021-02-26 05:30:11,-5,LIXT,STOCK,7.07,-35.35
